"crs_name","crs_id"
"AFRICAST229","215137"
"AFRICAST235","214117"
"AFRICAST238","215277"
"AFRICAST239","217275"
"AFRICAST242","212837"
"AFRICAST299","207210"
"AFRICAST300","207564"
"AFRICAST301A","208609"
"AFRICAST302","207573"
"AFRICAST132","213802"
"AFRICAST220E","218137"
"AFRICAST801","219625"
"AFRICAST113V","219951"
"AFRICAST114N","220046"
"AFRICAST122F","219849"
"AFRICAST246L","219212"
"AFRICAST249","219282"
"AFRICAST58","220417"
"AFRICAST146M","220948"
"AFRICAST248","220991"
"AFRICAST303E","220228"
"AFRICAST348","220991"
"AFRICAST51N","222867"
"AFRICAST90","222872"
"AFRICAST115","223210"
"AFRICAST215","223210"
"AFRICAST117","223454"
"AFRICAST262","223357"
"AMELANG15T","215908"
"AMELANG51A","205572"
"AMELANG70A","216125"
"AMELANG70B","216126"
"AMELANG71A","217007"
"AMELANG71B","217011"
"AMELANG84A","215907"
"AMELANG84B","215912"
"AMELANG99","215460"
"AMELANG100A","119290"
"AMELANG100B","119291"
"AMELANG100C","119292"
"AMELANG101A","200285"
"AMELANG101B","200286"
"AMELANG101C","200287"
"AMELANG103A","200290"
"AMELANG103B","200291"
"AMELANG103C","200292"
"AMELANG106A","119297"
"AMELANG106B","119298"
"AMELANG106C","119299"
"AMELANG107A","119300"
"AMELANG107B","119301"
"AMELANG107C","119302"
"AMELANG108A","119303"
"AMELANG108B","119304"
"AMELANG108C","119305"
"AMELANG110A","200296"
"AMELANG114A","200299"
"AMELANG114B","200300"
"AMELANG115A","119312"
"AMELANG115B","200302"
"AMELANG115C","200303"
"AMELANG126","200312"
"AMELANG128A","119332"
"AMELANG128B","119333"
"AMELANG128C","119334"
"AMELANG129A","119335"
"AMELANG129B","119336"
"AMELANG129C","119337"
"AMELANG130A","119338"
"AMELANG131A","200313"
"AMELANG131B","214325"
"AMELANG133B","119344"
"AMELANG133C","119276"
"AMELANG134A","200860"
"AMELANG134B","200861"
"AMELANG134C","200862"
"AMELANG135A","206872"
"AMELANG136A","207793"
"AMELANG136B","207794"
"AMELANG136C","207795"
"AMELANG137A","206713"
"AMELANG137B","206715"
"AMELANG137C","206716"
"AMELANG140A","204221"
"AMELANG140B","204556"
"AMELANG140C","204557"
"AMELANG141A","209247"
"AMELANG141B","209250"
"AMELANG141C","209248"
"AMELANG144A","119358"
"AMELANG144B","119359"
"AMELANG144C","119360"
"AMELANG145A","206279"
"AMELANG145B","206280"
"AMELANG145C","206281"
"AMELANG146A","206282"
"AMELANG146B","206283"
"AMELANG146C","206284"
"AMELANG153","214322"
"AMELANG153A","200336"
"AMELANG153B","200338"
"AMELANG153C","200337"
"AMELANG154A","200339"
"AMELANG154B","200340"
"AMELANG154C","200341"
"AMELANG156A","202397"
"AMELANG156B","202398"
"AMELANG156C","202399"
"AMELANG157A","206870"
"AMELANG157B","206869"
"AMELANG157C","206871"
"AMELANG170A","203826"
"AMELANG170B","204539"
"AMELANG170C","204540"
"AMELANG171","206241"
"AMELANG175","214435"
"AMELANG176","208500"
"AMELANG177","208501"
"AMELANG180A","200863"
"AMELANG180B","200864"
"AMELANG182A","204726"
"AMELANG182B","204935"
"AMELANG182C","204938"
"AMELANG184A","119476"
"AMELANG184B","119330"
"AMELANG184C","206255"
"AMELANG185A","202674"
"AMELANG185B","202695"
"AMELANG185C","202862"
"AMELANG186A","202765"
"AMELANG186B","202766"
"AMELANG186C","202767"
"AMELANG187A","202694"
"AMELANG187B","202820"
"AMELANG187C","203173"
"AMELANG188A","217587"
"AMELANG188B","217588"
"AMELANG188C","217904"
"AMELANG203A","210230"
"AMELANG203B","210231"
"AMELANG206B","207100"
"AMELANG206C","207101"
"AMELANG216A","206947"
"AMELANG216B","206948"
"AMELANG216C","206949"
"AMELANG221A","217395"
"AMELANG221B","217388"
"AMELANG221C","217399"
"AMELANG250A","119236"
"AMELANG297","119546"
"AMELANG395","203802"
"AMELANG142A","218804"
"AMELANG142B","218822"
"AMELANG142C","218824"
"AMELANG190A","219256"
"AMELANG16","219824"
"AMELANG28A","219968"
"AMELANG135B","206873"
"AMELANG135C","206874"
"AMELANG144","219954"
"AMELANG190B","219922"
"AMELANG190C","219921"
"AMELANG147A","200319"
"AMELANG147B","200320"
"AMELANG44A","222891"
"AMELANG44B","222890"
"AMELANG45A","222894"
"AMELANG45B","222895"
"AMELANG127","201844"
"AMELANG131","200227"
"AMSTUD1B","205624"
"AMSTUD2","122834"
"AMSTUD10Q","217080"
"AMSTUD12A","113936"
"AMSTUD15","211763"
"AMSTUD25Q","215582"
"AMSTUD32","215203"
"AMSTUD50N","212990"
"AMSTUD51Q","211453"
"AMSTUD54N","208718"
"AMSTUD54Q","216832"
"AMSTUD55N","216791"
"AMSTUD63N","215490"
"AMSTUD66","216529"
"AMSTUD68N","204025"
"AMSTUD91","214124"
"AMSTUD101","204779"
"AMSTUD102","217503"
"AMSTUD103","212932"
"AMSTUD104","217504"
"AMSTUD105N","213539"
"AMSTUD106","217505"
"AMSTUD107","211065"
"AMSTUD108","217506"
"AMSTUD109Q","217516"
"AMSTUD110D","204161"
"AMSTUD111","215915"
"AMSTUD111Q","217517"
"AMSTUD114Q","116719"
"AMSTUD116","113298"
"AMSTUD117N","216861"
"AMSTUD120","202310"
"AMSTUD121L","213101"
"AMSTUD121X","210747"
"AMSTUD121Z","123286"
"AMSTUD123D","113804"
"AMSTUD123G","113986"
"AMSTUD123X","117014"
"AMSTUD124A","215016"
"AMSTUD125","112912"
"AMSTUD125C","216725"
"AMSTUD127","217084"
"AMSTUD132","202449"
"AMSTUD134","216552"
"AMSTUD135","212937"
"AMSTUD136X","217095"
"AMSTUD137","210918"
"AMSTUD139B","201425"
"AMSTUD140","211184"
"AMSTUD142","203031"
"AMSTUD143A","206696"
"AMSTUD143X","216982"
"AMSTUD145M","213630"
"AMSTUD146","209948"
"AMSTUD146C","201812"
"AMSTUD147J","209321"
"AMSTUD150","113800"
"AMSTUD150A","115190"
"AMSTUD150B","115191"
"AMSTUD150C","115192"
"AMSTUD150X","213523"
"AMSTUD151H","213048"
"AMSTUD152A","210907"
"AMSTUD152C","215556"
"AMSTUD152G","203154"
"AMSTUD152K","215726"
"AMSTUD154","204459"
"AMSTUD154X","214296"
"AMSTUD155C","216069"
"AMSTUD156H","207834"
"AMSTUD157","212076"
"AMSTUD157P","216687"
"AMSTUD157X","215699"
"AMSTUD159X","213113"
"AMSTUD160","116787"
"AMSTUD161","115206"
"AMSTUD163","217131"
"AMSTUD164C","209832"
"AMSTUD165","101503"
"AMSTUD166","115156"
"AMSTUD178","201619"
"AMSTUD179","116769"
"AMSTUD183","202706"
"AMSTUD185","204642"
"AMSTUD186","205105"
"AMSTUD186A","206272"
"AMSTUD186B","215951"
"AMSTUD195","116785"
"AMSTUD201","101572"
"AMSTUD214","116803"
"AMSTUD226","208613"
"AMSTUD226X","214597"
"AMSTUD231X","213405"
"AMSTUD240A","116822"
"AMSTUD241K","217186"
"AMSTUD244","213111"
"AMSTUD246B","216057"
"AMSTUD250","116824"
"AMSTUD257","210821"
"AMSTUD258","115530"
"AMSTUD260","141076"
"AMSTUD261A","207314"
"AMSTUD261E","210917"
"AMSTUD262C","210908"
"AMSTUD262D","210914"
"AMSTUD265","115529"
"AMSTUD267A","216869"
"AMSTUD267E","215586"
"AMSTUD271","215658"
"AMSTUD272E","215660"
"AMSTUD275B","213513"
"AMSTUD275R","216135"
"AMSTUD279X","216436"
"AMSTUD281","214126"
"AMSTUD293","212919"
"AMSTUD3E","219090"
"AMSTUD10SC","219017"
"AMSTUD57Q","217980"
"AMSTUD73","216903"
"AMSTUD89","218569"
"AMSTUD92","218411"
"AMSTUD93","218412"
"AMSTUD94","218413"
"AMSTUD95","218414"
"AMSTUD105Q","213417"
"AMSTUD105R","213831"
"AMSTUD114X","110615"
"AMSTUD117R","211354"
"AMSTUD128","216028"
"AMSTUD129","218558"
"AMSTUD130A","211292"
"AMSTUD146A","218049"
"AMSTUD147A","219071"
"AMSTUD150J","219066"
"AMSTUD175E","219128"
"AMSTUD187S","218337"
"AMSTUD197","125369"
"AMSTUD216","209431"
"AMSTUD220B","208819"
"AMSTUD240Y","218370"
"AMSTUD255D","208730"
"AMSTUD276","218550"
"AMSTUD5I","220151"
"AMSTUD41Q","212269"
"AMSTUD48N","215558"
"AMSTUD51S","219538"
"AMSTUD53N","219209"
"AMSTUD58Q","219285"
"AMSTUD68S","219566"
"AMSTUD75N","219178"
"AMSTUD90S","219548"
"AMSTUD96","219868"
"AMSTUD103S","220230"
"AMSTUD119","218611"
"AMSTUD122D","220144"
"AMSTUD133","219659"
"AMSTUD134C","220080"
"AMSTUD135X","217389"
"AMSTUD141F","220057"
"AMSTUD143M","113934"
"AMSTUD145D","200404"
"AMSTUD151","219347"
"AMSTUD155","216083"
"AMSTUD155D","219167"
"AMSTUD168D","219147"
"AMSTUD176B","219694"
"AMSTUD186D","218017"
"AMSTUD218","219370"
"AMSTUD246","213844"
"AMSTUD250J","219146"
"AMSTUD251J","219179"
"AMSTUD256A","219639"
"AMSTUD256E","218079"
"AMSTUD261","219549"
"AMSTUD268C","219472"
"AMSTUD27Q","220359"
"AMSTUD41N","220344"
"AMSTUD55F","220218"
"AMSTUD91A","219881"
"AMSTUD106A","220576"
"AMSTUD115","220635"
"AMSTUD117","220636"
"AMSTUD118","220637"
"AMSTUD124B","220869"
"AMSTUD131","221207"
"AMSTUD145","220616"
"AMSTUD151F","213062"
"AMSTUD153","220378"
"AMSTUD155F","220218"
"AMSTUD169","115504"
"AMSTUD177","220528"
"AMSTUD199A","220648"
"AMSTUD199B","220649"
"AMSTUD199C","220650"
"AMSTUD215","221050"
"AMSTUD236","221168"
"AMSTUD251","115480"
"AMSTUD251X","208142"
"AMSTUD42Q","204779"
"AMSTUD43Q","221910"
"AMSTUD44Q","222080"
"AMSTUD100","221643"
"AMSTUD120B","221446"
"AMSTUD145J","221553"
"AMSTUD148","222101"
"AMSTUD159B","219518"
"AMSTUD200J","221528"
"AMSTUD261W","221717"
"AMSTUD264","221545"
"AMSTUD290","205510"
"AMSTUD18B","121683"
"AMSTUD43X","222774"
"AMSTUD124","222646"
"AMSTUD144D","222738"
"AMSTUD200R","222555"
"AMSTUD224","222770"
"AMSTUD251C","210881"
"AMSTUD260P","222721"
"AMSTUD4","222514"
"AMSTUD112","223891"
"AMSTUD113","223890"
"AMSTUD114","223720"
"AMSTUD118X","212827"
"AMSTUD123","223392"
"AMSTUD126","223906"
"AMSTUD128","223740"
"AMSTUD139C","223402"
"AMSTUD163","130984"
"AMSTUD167","223260"
"AMSTUD169B","223445"
"AMSTUD179A","221638"
"AMSTUD276","221158"
"ANES70Q","208896"
"ANES72Q","216427"
"ANES80Q","212087"
"ANES199","127649"
"ANES202","206638"
"ANES204","215824"
"ANES205","215131"
"ANES206","215380"
"ANES207","127654"
"ANES215","205903"
"ANES243","205965"
"ANES280","127657"
"ANES299","127658"
"ANES370","204809"
"ANES399","127686"
"ANES203","218333"
"ANES208A","218708"
"ANES211SI","219751"
"ANES212","220123"
"ANES200SI","220901"
"ANES300A","127660"
"ANES300B","202966"
"ANES300C","127661"
"ANES300D","127662"
"ANES300P","209533"
"ANES301A","127666"
"ANES302A","127669"
"ANES304A","127673"
"ANES306A","127678"
"ANES306P","202745"
"ANES307A","127680"
"ANES308A","127681"
"ANES340B","127683"
"ANES398A","127684"
"ANES74Q","222003"
"ANES340A","127666"
"ANES211","219751"
"ANES281","220901"
"ANES300E","127663"
"ANTHRO1","110099"
"ANTHRO1S","212809"
"ANTHRO3","109533"
"ANTHRO4","110100"
"ANTHRO6","109535"
"ANTHRO10A","216072"
"ANTHRO11SC","204810"
"ANTHRO12","203456"
"ANTHRO13A","216050"
"ANTHRO13SI","214321"
"ANTHRO14","205048"
"ANTHRO15","205448"
"ANTHRO16","201175"
"ANTHRO19Q","210638"
"ANTHRO21N","204623"
"ANTHRO22","201235"
"ANTHRO22N","206686"
"ANTHRO23N","208996"
"ANTHRO24N","140529"
"ANTHRO25N","211118"
"ANTHRO25SC","217760"
"ANTHRO26N","211119"
